recipe_id,ingredient_id,line_no,amount,unit,raw_text,type_tag,anchor_name,anchor_form,sour,sweet,bitter,aroma,fruity,body,role_rule,role_confidence,role_reason,role_source,amount_value,amount_ratio_all,amount_rank_all
1,1,1,1.5,oz,1.5 oz Mezcal,spirit,agave,spirit,0.2,0.6,0.4,0.8,0.5,0.7,base_spirit,0.95,"Mezcal is the primary alcoholic component with the highest amount (1.5 oz) and amount_rank 1, forming the foundation of the drink.",llm_contextual_v1,1.5,0.5,1.0
1,2,2,1.0,oz,1 oz Hibiscus Simple Syrup*,syrup,hibiscus,syrup,0.2,0.8,0.4,0.3,0.3,0.6,sweetener,0.9,"Hibiscus Simple Syrup is a syrup with high sweetness (sweet=0.8) and moderate amount (1 oz, amount_rank 2), used to balance acidity and add sweetness.",llm_contextual_v1,1.0,0.3333333333333333,2.0
1,3,3,0.5,oz,.5 oz Lime Juice,juice,lime,juice,0.8,0.3,0.4,0.6,0.7,0.2,acid,0.95,"Lime Juice is a citrus juice with high sourness (sour=0.8), typical for adding acidity to cocktails in small amounts (0.5 oz).",llm_contextual_v1,0.5,0.16666666666666666,3.0
1,4,4,,top,top Soda Water,mixer_water,carbonated water,other,0.0,0.0,0.0,0.0,0.0,0.1,dilution,0.85,"Soda Water is a carbonated mixer used to top the drink, diluting and adding effervescence without significant flavor contribution.",llm_contextual_v1,,,
2,5,1,2.0,oz,2 oz Junipero Gin,spirit,juniper,spirit,0.2,0.3,0.4,0.9,0.5,0.7,base_spirit,0.95,"Junipero Gin is the primary alcoholic component with the largest amount (2 oz) and highest amount_rank (2), serving as the foundation of the cocktail.",llm_contextual_v1,2.0,0.25,2.0
2,6,2,0.75,oz,.75 oz House-made Cranberry Syrup*,syrup,cranberry,syrup,0.3,0.9,0.4,0.6,0.7,0.7,sweetener,0.9,House-made Cranberry Syrup has a high sweet flavor score (0.9) and is used in a moderate amount (0.75 oz) to add sweetness and balance the acidity in the recipe.,llm_contextual_v1,0.75,0.09375,3.0
2,7,3,0.5,oz,.5 oz Lemon Juice,juice,lemon,juice,0.8,0.3,0.4,0.6,0.7,0.2,acid,0.95,"Lemon Juice has a high sour flavor score (0.8) and is a common acidic component in cocktails, used here to provide tartness.",llm_contextual_v1,0.5,0.0625,4.0
2,8,4,0.5,oz,.5 oz Cranberry Juice,juice,cranberry,juice,0.6,0.4,0.3,0.5,0.7,0.3,modifier,0.8,"Cranberry Juice enhances the cranberry flavor from the syrup, adds fruity notes, and modifies the base spirit's profile without being the primary sweetener or acid.",llm_contextual_v1,0.5,0.0625,4.0
2,9,5,0.25,oz,.25 oz Lillet Blanc,other,wine,fortified_wine,0.3,0.7,0.4,0.8,0.9,0.6,modifier,0.85,"Lillet Blanc is a fortified wine used in a small amount (0.25 oz) to add aromatic and fruity complexity, modifying the overall flavor profile.",llm_contextual_v1,0.25,0.03125,5.0
2,10,6,4.0,dash,4 dash Forgery Earth Day Bitters,bitters,botanical,bitters,0.1,0.1,0.9,0.8,0.2,0.1,bitters,0.95,"Forgery Earth Day Bitters is explicitly tagged as bitters, has a high bitter flavor score (0.9), and is used in dashes, typical for concentrated flavoring agents.",llm_contextual_v1,4.0,0.5,1.0
2,11,7,,,mist Laphroaig,other,barley,spirit,0.2,0.4,0.3,0.8,0.5,0.7,garnish,0.75,"Mist Laphroaig is applied as a mist (likely sprayed over the drink), serving as an aromatic garnish to add smoky notes without significant dilution.",llm_contextual_v1,,,
3,7,2,750.0,ml,750 ml Lemon Juice,juice,lemon,juice,0.8,0.3,0.4,0.6,0.7,0.2,acid,0.95,"Lemon juice is a classic acid component in cocktails, providing sourness and balancing sweetness",llm_contextual_v1,750.0,0.24987506246876562,2.0
3,12,1,1500.0,ml,1500 ml BarSol Selecto Italia Pisco,other,grape,spirit,0.2,0.4,0.3,0.8,0.7,0.6,base_spirit,0.98,"Pisco is the primary alcoholic component with the largest amount (1500ml, 50% ratio), forming the foundation of the drink",llm_contextual_v1,1500.0,0.49975012493753124,1.0
3,14,3,750.0,ml,750 ml Pineapple Gomme Syrup*,juice,pineapple,syrup,0.2,0.9,0.3,0.7,0.8,0.6,sweetener,0.97,Pineapple gomme syrup is a sweet syrup (sweet=0.9) that balances the acidity of lemon juice and provides sweetness,llm_contextual_v1,750.0,0.24987506246876562,2.0
3,15,4,0.5,oz,.5 oz Fee Bros Lemon Bitters,bitters,lemon,bitters,0.4,0.3,0.9,0.8,0.5,0.2,bitters,0.99,"Explicitly labeled as bitters, used in small quantity (0.5oz) to add concentrated flavor",llm_contextual_v1,0.5,0.0001665833749791771,4.0
3,16,5,1.0,,1 float Old Vine Zin,other,grape,fortified_wine,0.3,0.6,0.4,0.8,0.7,0.7,modifier,0.85,Old Vine Zin (fortified wine) is used as a float (1 unit) to modify and enhance the base spirit's flavor profile,llm_contextual_v1,1.0,0.0003331667499583542,3.0
4,17,1,1.5,oz,1.5 oz BarSol Primero Quebranta Pisco,other,grape,spirit,0.2,0.4,0.3,0.8,0.7,0.6,base_spirit,0.95,"Pisco is the primary alcoholic component with the largest amount (1.5 oz) and highest amount_rank, forming the foundation of the drink.",llm_contextual_v1,1.5,0.375,1.0
4,18,2,0.75,oz,.75 oz Dry Vermouth,liqueur,wormwood,fortified_wine,0.2,0.6,0.5,0.8,0.4,0.5,modifier,0.85,"Dry vermouth modifies the base spirit's flavor with its fortified wine characteristics, adding complexity and herbal notes.",llm_contextual_v1,0.75,0.1875,3.0
4,19,3,0.5,oz,.5 oz St. Germain,other,elderflower,liqueur,0.1,0.8,0.2,0.7,0.6,0.6,sweetener,0.9,"St. Germain is an elderflower liqueur with high sweetness (sweet=0.8) that balances the drink's flavors, acting as a primary sweetening agent.",llm_contextual_v1,0.5,0.125,4.0
4,20,4,0.25,oz,.25 oz Pineapple Syrup*,juice,pineapple,syrup,0.2,0.9,0.3,0.7,0.8,0.6,modifier,0.8,"Multiple sweeteners, demoted to modifier",llm_contextual_v1,0.25,0.0625,5.0
4,21,5,1.0,bsp,1 bsp Vieux Pontarlier Absinthe Francaise Superieure,other,wormwood,spirit,0.2,0.4,0.8,0.9,0.3,0.7,bitters,0.75,"Absinthe is used in a very small quantity (1 bsp) as a concentrated flavoring agent with high bitterness (bitter=0.8) and aroma, typical of bitters usage.",llm_contextual_v1,1.0,0.25,2.0
5,17,3,2.0,oz,2 oz BarSol Primero Quebranta Pisco,other,grape,spirit,0.2,0.4,0.3,0.8,0.7,0.6,base_spirit,0.95,Pisco is the primary alcoholic component with the largest volume (2 oz) and serves as the foundation of the drink,llm_contextual_v1,2.0,0.17777777777777778,3.0
5,22,1,1.25,oz,1.25 oz Luxardo Maraschino Liqueur,liqueur,cherry,liqueur,0.1,0.8,0.4,0.9,0.7,0.6,sweetener,0.85,"Maraschino liqueur has high sweetness (0.8) and moderate volume, functioning as a sweetening agent in the cocktail",llm_contextual_v1,1.25,0.1111111111111111,4.0
5,23,2,4.0,drop,4 drops Acid phosphate,other,phosphoric acid,other,0.9,0.0,0.1,0.1,0.0,0.1,acid,0.9,"Acid phosphate has very high sourness (0.9) and is used in small drops to provide acidity, similar to citrus juice",llm_contextual_v1,4.0,0.35555555555555557,1.0
5,25,4,0.75,oz,.75 oz Luxardo Amaro Abano,liqueur,herbal_botanical,liqueur,0.2,0.7,0.8,0.9,0.3,0.8,modifier,0.8,Amaro Abano modifies the base spirit with complex herbal/botanical flavors and moderate sweetness/bitterness,llm_contextual_v1,0.75,0.06666666666666667,5.0
